Region Code: AS
"Region Name: Asia"
Country Code: JPN
"Country Name: Japan"
Export date: 10/12/2025 10:20:56 PM
Source location: "WHO Mortality Database portal"
Metadata information: 

Indicator Code,Indicator Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
CG1430,Oral conditions,2012,Female,Age_all,[All],19.00000000,0.00316228,0.00605078,0.02939811,
CG1440,Dental caries,2012,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1450,Periodontal disease,2012,Female,Age_all,[All],2.00000000,0.00033287,0.00041240,0.00309454,
CG1460,Edentulism,2012,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1470,Other oral diseases,2012,Female,Age_all,[All],17.00000000,0.00282941,0.00563838,0.02630357,
CG1475,Sudden infant death syndrome,2012,Female,Age_all,[All],57.00000000,0.00948683,0.20553165,0.08819434,
CG1480,Injuries,2012,Female,Age_all,[All],27698.00000000,4.60993321,18.92734184,42.85625870,
CG1490,Unintentional injuries,2012,Female,Age_all,[All],18622.00000000,3.09936372,8.44534619,28.81324462,
CG1500,Road traffic accidents,2012,Female,Age_all,[All],1962.00000000,0.32654664,1.55263646,3.03574192,
CG1510,Poisonings,2012,Female,Age_all,[All],97.00000000,0.01614425,0.09071435,0.15008510,
CG1520,Falls,2012,Female,Age_all,[All],3290.00000000,0.54757312,1.15581344,5.09051524,
CG1530,Fires,2012,Female,Age_all,[All],511.00000000,0.08504859,0.35141403,0.79065449,
CG1540,Drownings,2012,Female,Age_all,[All],3834.00000000,0.63811408,1.77710845,5.93222961,
CG1541,Exposure to mechanical forces,2012,Female,Age_all,[All],99.00000000,0.01647712,0.12410839,0.15317964,
CG1542,Natural disasters,2012,Female,Age_all,[All],21.00000000,0.00349515,0.02322549,0.03249265,
CG1550,Other unintentional injuries,2012,Female,Age_all,[All],8808.00000000,1.46596475,3.37032559,13.62834597,
CG1560,Intentional injuries,2012,Female,Age_all,[All],8155.00000000,1.35728231,9.59972860,12.61797927,
CG1570,Self-inflicted injuries,2012,Female,Age_all,[All],7953.00000000,1.32366232,9.33655062,12.30543091,
CG1580,Violence,2012,Female,Age_all,[All],201.00000000,0.03345356,0.26248220,0.31100108,
CG1590,War,2012,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1600,Other intentional injuries,2012,Female,Age_all,[All],1.00000000,0.00016644,0.00069579,0.00154727,
CG1610,Ill-defined diseases,2012,Female,Age_all,[All],52396.00000000,8.72055962,13.19742034,81.07071020,
CG0768,Ill-defined malignant neoplasms,2012,Female,Age_all,[All],3812.00000000,0.63445250,1.59856038,5.89818970,
CG0769,Other malignant neoplasms,2012,Female,Age_all,[All],3319.00000000,0.55239975,2.05953505,5.13538604,
CG0789,Diabetes mellitus and endocrine disorders,2012,Female,Age_all,[All],12130.00000000,2.01886381,4.56954194,18.76837382,
CG1098,Ill-defined circulatory diseases,2012,Female,Age_all,[All],53196.00000000,8.85370810,15.44264571,82.30852545,
CG1099,Other circulatory diseases,2012,Female,Age_all,[All],26220.00000000,4.36394139,8.41089432,40.56939502,
CG1605,Ill-defined injuries/accidents,2012,Female,Age_all,[All],921.00000000,0.15328719,0.88226704,1.42503481,
CG0395,COVID-19,2012,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0000,All Causes,2013,All,Age_all,[All],1268436.00000000,100.00000000,315.27539951,1009.06574170,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2013,All,Age_all,[All],155272.00000000,12.24121674,31.82465739,123.52192452,
CG0020,Infectious and parasitic diseases,2013,All,Age_all,[All],26397.00000000,2.08106676,6.52469242,20.99933176,
CG0030,Tuberculosis,2013,All,Age_all,[All],3171.00000000,0.24999290,0.63001233,2.52259276,
CG0040,STDs excluding HIV,2013,All,Age_all,[All],136.00000000,0.01072187,0.03103711,0.10819067,
CG0050,Syphilis,2013,All,Age_all,[All],6.00000000,0.00047302,0.00154824,0.00477312,
CG0060,Chlamydia,2013,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0070,Gonorrhoea,2013,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0080,Other STDs,2013,All,Age_all,[All],130.00000000,0.01024884,0.02948887,0.10341755,
CG0090,HIV/AIDS,2013,All,Age_all,[All],45.00000000,0.00354768,0.02453182,0.03579838,
CG0100,Diarrhoeal diseases,2013,All,Age_all,[All],2582.00000000,0.20355777,0.59574679,2.05403169,
CG0110,Childhood-cluster diseases,2013,All,Age_all,[All],30.00000000,0.00236512,0.01047601,0.02386559,
CG0120,Pertussis,2013,All,Age_all,[All],1.00000000,0.00007884,0.00024132,0.00079552,
CG0130,Poliomyelitis,2013,All,Age_all,[All],22.00000000,0.00173442,0.00704704,0.01750143,
CG0140,Diphtheria,2013,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0150,Measles,2013,All,Age_all,[All],2.00000000,0.00015767,0.00203331,0.00159104,
CG0160,Tetanus,2013,All,Age_all,[All],5.00000000,0.00039419,0.00115434,0.00397760,
CG0170,Meningitis,2013,All,Age_all,[All],291.00000000,0.02294164,0.10083292,0.23149621,
CG0180,Hepatitis B,2013,All,Age_all,[All],719.00000000,0.05668398,0.25668626,0.57197862,
CG0190,Hepatitis C,2013,All,Age_all,[All],4158.00000000,0.32780527,1.12019655,3.30777064,
CG0200,Malaria,2013,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0210,Tropical-cluster diseases,2013,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0220,Trypanosomiasis,2013,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0230,Chagas disease,2013,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0240,Schistosomiasis,2013,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0250,Leishmaniasis,2013,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0260,lymphatic filariasis,2013,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0270,Onchocerciasis,2013,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0280,Leprosy,2013,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0290,Dengue,2013,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0300,Japanese encephalitis,2013,All,Age_all,[All],2.00000000,0.00015767,0.00067978,0.00159104,
CG0310,Trachoma,2013,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0320,Intestinal nematode infections,2013,All,Age_all,[All],3.00000000,0.00023651,0.00041891,0.00238656,
CG0330,Ascariasis,2013,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0340,Trichuriasis,2013,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0350,Hookworm disease,2013,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0360,Other intestinal infections,2013,All,Age_all,[All],3.00000000,0.00023651,0.00041891,0.00238656,
CG0370,Other infectious diseases,2013,All,Age_all,[All],15260.00000000,1.20305636,3.75407393,12.13962961,
CG0380,Respiratory infections,2013,All,Age_all,[All],125378.00000000,9.88445613,23.61624805,99.74066060,
CG0390,Lower respiratory infections,2013,All,Age_all,[All],125202.00000000,9.87058078,23.55443582,99.60064914,
CG0400,Upper respiratory infections,2013,All,Age_all,[All],163.00000000,0.01285047,0.05852726,0.12966970,
CG0410,Otitis media,2013,All,Age_all,[All],13.00000000,0.00102488,0.00328497,0.01034176,
CG0420,Maternal conditions,2013,All,Age_all,[All],41.00000000,0.00323233,0.03681580,0.03261631,
CG0430,Maternal haemorrhage,2013,All,Age_all,[All],8.00000000,0.00063070,0.00741244,0.00636416,
CG0440,Maternal sepsis,2013,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0450,Hypertensive disorders,2013,All,Age_all,[All],8.00000000,0.00063070,0.00825754,0.00636416,
CG0460,Obstructed labour,2013,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0470,Pregnancy with abortive outcome,2013,All,Age_all,[All],1.00000000,0.00007884,0.00118950,0.00079552,
CG0480,Other maternal conditions,2013,All,Age_all,[All],24.00000000,0.00189209,0.01995633,0.01909247,
CG0490,Perinatal conditions,2013,All,Age_all,[All],559.00000000,0.04407002,0.98493956,0.44469548,
CG0500,Low birth weight,2013,All,Age_all,[All],201.00000000,0.01584629,0.35388553,0.15989945,
CG0510,Birth asphyxia and birth trauma,2013,All,Age_all,[All],177.00000000,0.01395419,0.31175678,0.14080698,
CG0520,Other perinatal conditions,2013,All,Age_all,[All],181.00000000,0.01426954,0.31929725,0.14398905,
CG0530,Nutritional deficiencies,2013,All,Age_all,[All],2897.00000000,0.22839150,0.66196155,2.30462038,
CG0540,Protein-energy malnutrition,2013,All,Age_all,[All],1693.00000000,0.13347146,0.41720010,1.34681474,
CG0550,Iodine deficiency,2013,All,Age_all,[All],1.00000000,0.00007884,0.00024132,0.00079552,
CG0560,Vitamin A deficiency,2013,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0570,Iron-deficiency anaemia,2013,All,Age_all,[All],777.00000000,0.06125654,0.14508382,0.61811876,
CG0580,Other nutritional disorders,2013,All,Age_all,[All],426.00000000,0.03358467,0.09943632,0.33889136,
CG0590,Noncommunicable diseases,2013,All,Age_all,[All],954992.00000000,75.28893850,236.44955514,759.71488576,
CG0600,Malignant neoplasms,2013,All,Age_all,[All],364877.00000000,28.76589753,101.91462341,290.26681729,
CG0610,Mouth and oropharynx cancers,2013,All,Age_all,[All],7179.00000000,0.56597258,2.13190109,5.71103545,
CG0611,a. Lip and oral cavity cancers,2013,All,Age_all,[All],3851.00000000,0.30360223,1.09130162,3.06354611,
CG0612,b. Nasopharynx cancers,2013,All,Age_all,[All],315.00000000,0.02483373,0.11777793,0.25058868,
CG0613,c. Other pharynx cancer,2013,All,Age_all,[All],3013.00000000,0.23753662,0.92282154,2.39690066,
CG0620,Oesophagus cancer,2013,All,Age_all,[All],11543.00000000,0.91001832,3.50280177,9.18268313,
CG0630,Stomach cancer,2013,All,Age_all,[All],48632.00000000,3.83401291,13.16761735,38.68771081,
CG0640,Colon and rectum cancers,2013,All,Age_all,[All],48002.00000000,3.78434545,13.27668354,38.18653344,
CG0650,Liver cancer,2013,All,Age_all,[All],30175.00000000,2.37891388,8.10370637,24.00480494,
CG0660,Pancreas cancer,2013,All,Age_all,[All],30672.00000000,2.41809599,8.59427486,24.40017820,
CG0670,"Trachea, bronchus, lung cancers",2013,All,Age_all,[All],72734.00000000,5.73414820,19.36782412,57.86132502,
CG0680,Melanoma and other skin cancers,2013,All,Age_all,[All],1525.00000000,0.12022680,0.40726774,1.21316744,
CG0681,a. Malignant skin melanoma,2013,All,Age_all,[All],604.00000000,0.04761770,0.19592929,0.48049386,
CG0682,b. Non-melanoma skin cancer,2013,All,Age_all,[All],921.00000000,0.07260910,0.21133845,0.73267358,
CG0690,Breast cancer,2013,All,Age_all,[All],13230.00000000,1.04301675,5.17474782,10.52472475,
CG0700,Cervix uteri cancer,2013,All,Age_all,[All],2656.00000000,0.20939172,1.15826922,2.11290015,
CG0710,Corpus uteri cancer,2013,All,Age_all,[All],3377.00000000,0.26623338,1.13935954,2.68646980,
CG0720,Ovary cancer,2013,All,Age_all,[All],4717.00000000,0.37187529,1.77023717,3.75246611,
CG0730,Prostate cancer,2013,All,Age_all,[All],11560.00000000,0.91135855,2.50643443,9.19620696,
CG0731,Testicular cancer,2013,All,Age_all,[All],67.00000000,0.00528210,0.04963904,0.05329982,
CG0732,Kidney cancer,2013,All,Age_all,[All],8200.00000000,0.64646541,2.17764248,6.52326099,
CG0740,Bladder cancer,2013,All,Age_all,[All],7685.00000000,0.60586423,1.72549009,6.11356838,
CG0741,Brain and nervous system cancers,2013,All,Age_all,[All],2198.00000000,0.17328427,1.02154325,1.74855215,
CG0742,Gallbladder and biliary tract cancer,2013,All,Age_all,[All],18225.00000000,1.43680879,4.29219878,14.49834532,
CG0743,Larynx cancer,2013,All,Age_all,[All],963.00000000,0.07592027,0.25491935,0.76608541,
CG0744,Thyroid cancer,2013,All,Age_all,[All],1742.00000000,0.13733448,0.43091362,1.38579520,
CG0745,Mesothelioma,2013,All,Age_all,[All],1410.00000000,0.11116052,0.42159044,1.12168268,
CG0750,"Lymphomas, multiple myeloma",2013,All,Age_all,[All],15466.00000000,1.21929683,4.09174263,12.30350665,
CG0751,a. Hodgkin lymphoma,2013,All,Age_all,[All],164.00000000,0.01292931,0.05942770,0.13046522,
CG0752,b. Non-Hodgkin lymphoma,2013,All,Age_all,[All],11181.00000000,0.88147924,2.97403996,8.89470502,
CG0753,c. Multiple myeloma,2013,All,Age_all,[All],4121.00000000,0.32488829,1.05827497,3.27833641,
CG0760,Leukaemia,2013,All,Age_all,[All],8133.00000000,0.64118332,2.76067146,6.46996118,
CG0780,Other neoplasms,2013,All,Age_all,[All],11027.00000000,0.86933830,2.81917434,8.77219500,
CG0790,Diabetes mellitus,2013,All,Age_all,[All],13812.00000000,1.08890003,3.48834335,10.98771718,
CG0800,Endocrine disorders,2013,All,Age_all,[All],9252.00000000,0.72940219,2.28099822,7.36014765,
CG0810,Neuropsychiatric conditions,2013,All,Age_all,[All],38668.00000000,3.04847860,8.99295350,30.76115319,
CG0820,Unipolar depressive disorders,2013,All,Age_all,[All],231.00000000,0.01821140,0.06476806,0.18376504,
CG0830,Bipolar disorder,2013,All,Age_all,[All],30.00000000,0.00236512,0.01094319,0.02386559,
CG0840,Schizophrenia,2013,All,Age_all,[All],579.00000000,0.04564676,0.20197101,0.46060587,
CG0850,Epilepsy,2013,All,Age_all,[All],776.00000000,0.06117770,0.33960848,0.61732324,
CG0860,Alcohol use disorders,2013,All,Age_all,[All],412.00000000,0.03248095,0.18242576,0.32775409,
CG0870,Alzheimer and other dementias,2013,All,Age_all,[All],20956.00000000,1.65211331,3.72827078,16.67090944,
CG0880,Parkinson disease,2013,All,Age_all,[All],6723.00000000,0.53002280,1.36213074,5.34827850,
CG0890,Multiple sclerosis,2013,All,Age_all,[All],73.00000000,0.00575512,0.02814656,0.05807293,
CG0900,Drug use disorders,2013,All,Age_all,[All],291.00000000,0.02294164,0.20925352,0.23149621,
CG0910,Post-traumatic stress disorder,2013,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0920,Obsessive-compulsive disorder,2013,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0930,Panic disorder,2013,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0940,Insomnia (primary),2013,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0950,Migraine,2013,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0960,Mental Retardation,2013,All,Age_all,[All],115.00000000,0.00906628,0.04677561,0.09148476,
CG0970,Other neuropsychiatric disorders,2013,All,Age_all,[All],8482.00000000,0.66869751,2.81865977,6.74759753,
CG0980,Sense organ diseases,2013,All,Age_all,[All],10.00000000,0.00078837,0.00261239,0.00795520,
CG0990,Glaucoma,2013,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1000,Cataracts,2013,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1010,"Vision disorders, age-related",2013,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1020,"Hearing loss, adult onset ",2013,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1030,Other sense organ disorders,2013,All,Age_all,[All],10.00000000,0.00078837,0.00261239,0.00795520,
CG1040,Cardiovascular diseases,2013,All,Age_all,[All],345650.00000000,27.25009382,77.33593433,274.97136129,
CG1050,Rheumatic heart disease,2013,All,Age_all,[All],2341.00000000,0.18455799,0.45845105,1.86231146,
CG1060,Hypertensive heart disease,2013,All,Age_all,[All],4918.00000000,0.38772157,0.93787096,3.91236556,
CG1070,Ischaemic heart disease,2013,All,Age_all,[All],74809.00000000,5.89773548,18.69531788,59.51202826,
CG1080,Cerebrovascular disease,2013,All,Age_all,[All],118347.00000000,9.33015146,26.53039160,94.14736206,
CG1090,Inflammatory heart diseases,2013,All,Age_all,[All],7059.00000000,0.55651211,1.92126812,5.61557309,
CG1110,Respiratory diseases,2013,All,Age_all,[All],78310.00000000,6.17374467,15.67989328,62.29714249,
CG1120,Chronic obstructive pulmonary disease,2013,All,Age_all,[All],16904.00000000,1.33266479,3.33170071,13.44746388,
CG1130,Asthma,2013,All,Age_all,[All],1728.00000000,0.13623076,0.40810949,1.37465793,
CG1140,Other respiratory diseases,2013,All,Age_all,[All],59678.00000000,4.70484912,11.94008308,47.47502068,
CG1150,Digestive diseases,2013,All,Age_all,[All],47547.00000000,3.74847450,12.59999984,37.82457201,
CG1160,Peptic ulcer disease,2013,All,Age_all,[All],2828.00000000,0.22295173,0.68590488,2.24972952,
CG1170,Cirrhosis of the liver,2013,All,Age_all,[All],12681.00000000,0.99973511,4.67678716,10.08798447,
CG1180,Appendicitis,2013,All,Age_all,[All],88.00000000,0.00693768,0.03121247,0.07000573,
CG1181,Gastritis and duodenitis,2013,All,Age_all,[All],83.00000000,0.00654349,0.01718659,0.06602813,
CG1182,Paralytic ileus and intestinal obstruction,2013,All,Age_all,[All],6127.00000000,0.48303580,1.28565212,4.87414879,
CG1183,Inflammatory bowel disease,2013,All,Age_all,[All],245.00000000,0.01931513,0.07366473,0.19490231,
CG1184,Gallbladder and biliary diseases,2013,All,Age_all,[All],5668.00000000,0.44684951,1.06982654,4.50900528,
CG1185,Pancreatitis,2013,All,Age_all,[All],1228.00000000,0.09681214,0.35524606,0.97689811,
CG1190,Other digestive diseases,2013,All,Age_all,[All],18599.00000000,1.46629392,4.40451929,14.79586966,
CG1200,Genitourinary diseases,2013,All,Age_all,[All],36257.00000000,2.85840200,7.10124745,28.84315535,
CG1210,Nephritis and nephrosis,2013,All,Age_all,[All],29451.00000000,2.32183571,5.79939425,23.42884872,
CG1220,Benign prostatic hypertrophy,2013,All,Age_all,[All],108.00000000,0.00851442,0.02036170,0.08591612,
CG1230,Other genitourinary system diseases,2013,All,Age_all,[All],6698.00000000,0.52805187,1.28149150,5.32839050,
CG1240,Skin diseases,2013,All,Age_all,[All],1465.00000000,0.11549656,0.30579863,1.16543626,
CG1250,Musculoskeletal diseases,2013,All,Age_all,[All],5849.00000000,0.46111905,1.50254691,4.65299434,
CG1260,Rheumatoid arthritis,2013,All,Age_all,[All],1614.00000000,0.12724331,0.37091012,1.28396869,
CG1270,Osteoarthritis,2013,All,Age_all,[All],60.00000000,0.00473023,0.01171375,0.04773118,
CG1280,Gout,2013,All,Age_all,[All],20.00000000,0.00157674,0.00520464,0.01591039,
CG1290,Back pain,2013,All,Age_all,[All],489.00000000,0.03855141,0.10903884,0.38900910,
CG1300,Other musculoskeletal disorders,2013,All,Age_all,[All],3666.00000000,0.28901734,1.00567956,2.91637498,
CG1310,Congenital anomalies,2013,All,Age_all,[All],2079.00000000,0.16390263,2.19042156,1.65388532,
CG1320,Abdominal wall defect,2013,All,Age_all,[All],7.00000000,0.00055186,0.01237051,0.00556864,
CG1330,Anencephaly,2013,All,Age_all,[All],16.00000000,0.00126140,0.02820009,0.01272831,
CG1340,Anorectal atresia,2013,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1350,Cleft lip,2013,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1360,Cleft palate,2013,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1370,Oesophageal atresia,2013,All,Age_all,[All],5.00000000,0.00039419,0.00856504,0.00397760,
CG1380,Renal agenesis,2013,All,Age_all,[All],36.00000000,0.00283814,0.06183410,0.02863871,
CG1390,Down syndrome,2013,All,Age_all,[All],67.00000000,0.00528210,0.05777363,0.05329982,
CG1400,Congenital heart anomalies,2013,All,Age_all,[All],1015.00000000,0.08001980,0.94881533,0.80745243,
CG1410,Spina bifida,2013,All,Age_all,[All],3.00000000,0.00023651,0.00388046,0.00238656,
CG1420,Other Congenital anomalies,2013,All,Age_all,[All],930.00000000,0.07331864,1.06898240,0.73983326,
CG1430,Oral conditions,2013,All,Age_all,[All],64.00000000,0.00504558,0.01418128,0.05091326,
CG1440,Dental caries,2013,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1450,Periodontal disease,2013,All,Age_all,[All],7.00000000,0.00055186,0.00153548,0.00556864,
CG1460,Edentulism,2013,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1470,Other oral diseases,2013,All,Age_all,[All],57.00000000,0.00449372,0.01264579,0.04534462,
CG1475,Sudden infant death syndrome,2013,All,Age_all,[All],125.00000000,0.00985466,0.22082667,0.09943995,
CG1480,Injuries,2013,All,Age_all,[All],71384.00000000,5.62771791,31.02395129,56.78737351,
CG1490,Unintentional injuries,2013,All,Age_all,[All],42490.00000000,3.34979455,13.16910345,33.80162922,
CG1500,Road traffic accidents,2013,All,Age_all,[All],5386.00000000,0.42461740,2.78994979,4.28466875,
CG1510,Poisonings,2013,All,Age_all,[All],311.00000000,0.02451838,0.17952916,0.24740661,
CG1520,Falls,2013,All,Age_all,[All],7766.00000000,0.61225005,1.99858136,6.17800547,
CG1530,Fires,2013,All,Age_all,[All],1304.00000000,0.10280377,0.45751834,1.03735760,
CG1540,Drownings,2013,All,Age_all,[All],7523.00000000,0.59309260,2.27532030,5.98469420,
CG1541,Exposure to mechanical forces,2013,All,Age_all,[All],612.00000000,0.04824839,0.34800409,0.48685802,
CG1542,Natural disasters,2013,All,Age_all,[All],80.00000000,0.00630698,0.03781333,0.06364157,
CG1550,Other unintentional injuries,2013,All,Age_all,[All],19508.00000000,1.53795698,5.08238708,15.51899701,
CG1560,Intentional injuries,2013,All,Age_all,[All],26432.00000000,2.08382607,16.57538809,21.02717495,
CG1570,Self-inflicted injuries,2013,All,Age_all,[All],26080.00000000,2.05607536,16.32703478,20.74715204,
CG1580,Violence,2013,All,Age_all,[All],344.00000000,0.02712001,0.24382901,0.27365875,
CG1590,War,2013,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1600,Other intentional injuries,2013,All,Age_all,[All],8.00000000,0.00063070,0.00452430,0.00636416,
CG1610,Ill-defined diseases,2013,All,Age_all,[All],86788.00000000,6.84212684,15.97723569,69.04155795,
CG0768,Ill-defined malignant neoplasms,2013,All,Age_all,[All],7986.00000000,0.62959424,2.05177654,6.35301979,
CG0769,Other malignant neoplasms,2013,All,Age_all,[All],6800.00000000,0.53609327,2.33537072,5.40953351,
CG0789,Diabetes mellitus and endocrine disorders,2013,All,Age_all,[All],23064.00000000,1.81830222,5.76934157,18.34786483,
CG1098,Ill-defined circulatory diseases,2013,All,Age_all,[All],89999.00000000,7.09527323,18.32649479,71.59597149,
CG1099,Other circulatory diseases,2013,All,Age_all,[All],48177.00000000,3.79814196,10.46613994,38.32574938,
CG1605,Ill-defined injuries/accidents,2013,All,Age_all,[All],2462.00000000,0.19409730,1.27945975,1.95856934,
CG0395,COVID-19,2013,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0000,All Causes,2013,Male,Age_all,[All],658684.00000000,100.00000000,426.84333979,1076.52731020,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2013,Male,Age_all,[All],81851.00000000,12.42644424,46.31945631,133.77406596,
CG0020,Infectious and parasitic diseases,2013,Male,Age_all,[All],12817.00000000,1.94584960,8.17799164,20.94760239,
CG0030,Tuberculosis,2013,Male,Age_all,[All],1842.00000000,0.27964851,1.00442231,3.01049260,
CG0040,STDs excluding HIV,2013,Male,Age_all,[All],5.00000000,0.00075909,0.00306195,0.00817180,
CG0050,Syphilis,2013,Male,Age_all,[All],5.00000000,0.00075909,0.00306195,0.00817180,
CG0060,Chlamydia,2013,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0070,Gonorrhoea,2013,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0080,Other STDs,2013,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0090,HIV/AIDS,2013,Male,Age_all,[All],42.00000000,0.00637635,0.04702907,0.06864315,
CG0100,Diarrhoeal diseases,2013,Male,Age_all,[All],1099.00000000,0.16684784,0.69333350,1.79616252,
CG0110,Childhood-cluster diseases,2013,Male,Age_all,[All],17.00000000,0.00258090,0.01249332,0.02778413,
CG0120,Pertussis,2013,Male,Age_all,[All],1.00000000,0.00015182,0.00054832,0.00163436,
CG0130,Poliomyelitis,2013,Male,Age_all,[All],13.00000000,0.00197363,0.00997669,0.02124669,
CG0140,Diphtheria,2013,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0150,Measles,2013,Male,Age_all,[All],1.00000000,0.00015182,0.00071000,0.00163436,
CG0160,Tetanus,2013,Male,Age_all,[All],2.00000000,0.00030364,0.00125831,0.00326872,
CG0170,Meningitis,2013,Male,Age_all,[All],169.00000000,0.02565722,0.13656028,0.27620698,
CG0180,Hepatitis B,2013,Male,Age_all,[All],400.00000000,0.06072715,0.33047889,0.65374432,
CG0190,Hepatitis C,2013,Male,Age_all,[All],1825.00000000,0.27706761,1.25135002,2.98270846,
CG0200,Malaria,2013,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0210,Tropical-cluster diseases,2013,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0220,Trypanosomiasis,2013,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0230,Chagas disease,2013,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0240,Schistosomiasis,2013,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0250,Leishmaniasis,2013,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0260,lymphatic filariasis,2013,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0270,Onchocerciasis,2013,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0280,Leprosy,2013,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0290,Dengue,2013,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0300,Japanese encephalitis,2013,Male,Age_all,[All],2.00000000,0.00030364,0.00141777,0.00326872,
CG0310,Trachoma,2013,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0320,Intestinal nematode infections,2013,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0330,Ascariasis,2013,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0340,Trichuriasis,2013,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0350,Hookworm disease,2013,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0360,Other intestinal infections,2013,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0370,Other infectious diseases,2013,Male,Age_all,[All],7416.00000000,1.12588130,4.69784451,12.12041970,
CG0380,Respiratory infections,2013,Male,Age_all,[All],67494.00000000,10.24679512,36.27744017,110.30954794,
CG0390,Lower respiratory infections,2013,Male,Age_all,[All],67399.00000000,10.23237243,36.18885368,110.15428366,
CG0400,Upper respiratory infections,2013,Male,Age_all,[All],85.00000000,0.01290452,0.08209691,0.13892067,
